name,latitude,longitude
Khalifeh Kandi,37.2904,46.3582
Tazeh Kand-e Zavaraq,37.29436,46.09849
Dizaj-e Navlu,37.34184,46.08612
Nosratabad-e Amir Ghayeb,37.10408,46.20261
Arpa Darrehsi,37.0749,46.3968
Qermez Khalifeh-ye `Olya,37.06556,46.06244
Nezamabad,37.0437,45.9491
Bidestan,36.10334,53.89803
Karbala'i `Ali,36.01667,53.86667
Gandalabad,36.08333,53.73333
Hajjiabad,36.06195,53.69554
Hajjiabad,36.02866,53.80951
Hoseynabad,36.02919,53.7948
Siavash Kola,36.17051,53.52837
Qal`eh Gardan,36.07894,53.51613
Zarma,36.05434,53.51578
Band-e Bon,36.00068,53.23046
Khari Sara,36.00229,53.24452
Kheshtestan,36.13985,53.2959
Juja Deh,36.1,53.25
Suteh Kola,36.0954,53.1904
Nasam Talar Sar,36.03333,53.16667
Taj od Din,36.03333,53.18333
Qatuja,36.03333,53.2
Varpey,36.01981,53.16055
Sang Sir,36.09294,53.07106
Hajji Kola,36.08598,53.03486
Tale`-e Pa'in,36.06667,53.05
Baghmal,36.05,53.05
Pol-e Kalantari,36.01667,53.03333
Samit,36.01667,53.03333
Kharaj,36.01667,53.08333
Sar Chaleshk,36.00646,53.0807
Vanardan,36.00385,52.95433
Bim Darreh,36.00708,52.90956
Chamaz Chal,36.05,52.91667
Lalta,36.06373,52.9189
Emamzadeh Haft Baradar,36.15,53.01667
Shahriar Kola,36.08333,52.85
Laband,36.06667,52.86667
Amiriyeh,36.06667,52.85
Emamzadeh Hasan,36.07123,52.74858
Rangrizan,36.06667,52.7
Garivash,36.06667,52.66667
Astal Sar,36.06667,52.75
Jalas,36.08333,52.61667
Goliran,36.1,52.66667
Narjeh,36.11667,52.58333
Tinu,36.1,52.58333
Mehdi Kheyl,36.03333,52.6
Kativak-e Bala,36.06667,52.55
Kat Kola,36.19409,52.50038
Charni,36.18333,52.63333
Samsu Kola,36.21667,52.63333
Bigdam,36.2,52.65
Da'i Sar,36.2,52.66667
Mamerz Kabon,36.26667,52.5
Taru,36.23333,52.81667
Esbu Kola,36.20574,52.80662
Hajji Kola,36.18333,52.78333
Amir Kola,36.18333,52.78333
Rudbar Sara,36.18333,52.86667
Tang Sar,36.2,52.85
Margi Chal,36.2039,52.8499
Shahr,36.23333,52.83333
Javarem,36.22862,52.90837
Bala Chayran,36.19933,52.96611
Shelak,36.17095,53.11975
Sara Chali,36.2,53.06667
Maskupa,36.21516,53.32111
Astar Shesh,36.23333,53.28333
Shahzadeh Hoseyn,36.23333,53.53333
Kutmar,36.23333,53.61667
Emamzadeh Ebrahim,36.25,53.68333
Valuyeh-ye Bala,36.20992,53.71425
Fik Cheshmeh,36.23346,53.72601
Zangoli,36.23333,53.73333
Emamzadeh Mohammad Morad,36.3,53.68333
`Aliabad,36.16205,53.86423
Hoseynabad,36.17093,53.88202
Siah Darreh,36.20669,53.8771
Nileh Kuh,36.36317,53.69271
Dadeym Dasht,36.37382,53.6995
Salah,36.36667,53.45
Helmid,36.36667,53.41667
Varnam-e `Olya,36.36667,53.43333
Haft Khal,36.2849,53.46131
Pacha,36.26667,53.36667
Mian Darreh,36.33333,53.33333
Kesvat,36.35387,53.33187
Hajji Deh,36.26667,53.1
Sesleh,36.26667,53.08333
Emamzadeh `Abdollah,36.25,53.1
Katu,36.28333,52.86667
Hajjiabad,36.28333,52.86667
Shahzadeh Reza,36.33382,52.67112
Tahamtan Kola,36.32304,52.63665
Hardo Rud,36.31667,52.55
Shia Deh-e Pa'in,36.33333,52.53333
Bura,36.36667,52.56667
Kordi Kola,36.36373,52.55274
Gavan Kola,36.38333,52.61667
Kahar Kenar,36.4,52.6
Afrasiab Kola,36.36781,52.57014
Kharabeh Khvoshrud Pey,36.38078,52.54648
Bazyar-e Bala,36.41667,52.53333
Bala Ketab,36.41667,52.65
Gerd Rudbar,36.36078,52.67065
Pitka,36.36981,52.72725
Cha'i Bagh,36.34055,52.86064
Mal`eh,36.33333,52.86667
Dukan Sar,36.36925,52.86133
Berenjestanak-e Bala,36.37287,52.93397
Kamar Kheyl,36.346,53.12574
Kajarestaq,36.38333,53.33333
Kondes Bon,36.39561,53.35027
Karnam-e `Olya,36.39079,53.41677
Gornam-e Sofla,36.38333,53.41667
Valudi,36.48333,53.7
Varnam,36.48333,53.88333
Paband,36.48333,53.95
Darvishabad,36.4911,53.96145
`Aliabad,36.49522,53.95889
Ghar Divkhaneh,36.53333,53.86667
Kova,36.51667,53.86667
Jirband,36.5162,53.77256
Aqtalat,36.55,53.83333
Kiasar-e Bala,36.57859,53.83091
Chin Parch,36.63139,53.93905
Marang,36.73333,53.91667
Cheshmeh Bolbol,36.719,53.83754
Khazeyni,36.90463,53.97394
Laleh Bangeh,36.9,53.88333
Qezel Babay,36.88333,53.83333
Ilkhchi Kumeh,36.88333,53.76667
Qezel Mohammad`ali,36.88333,53.75
Jom`eh Shivar,36.88333,53.66667
Qavvastal,36.88333,53.65
Valeh Muzu,36.75,53.68333
Emamzadeh Ahmad,36.71667,53.71667
Khuzshid Kola,36.71667,53.76667
Sangyab Sar,36.71869,53.66412
Valeh Muzu,36.73558,53.66719
Posht Khiaban-e Rakavand,36.70656,53.63672
Kashar Kheyl,36.68333,53.63333
Goteh Zamin,36.66667,53.63333
Sheykh Nur od Din,36.58333,53.73333
Ichin,36.5,53.66667
Kafkur,36.53333,53.65
Deram,36.46551,53.49372
Tilapeh,36.51959,53.1663
Espurez,36.53333,53.13333
Bandaforuz,36.53042,53.15642
Velesht,36.54627,53.18489
Jamkhaneh,36.58333,53.25
Kasbinan,36.57345,53.3576
Garayel Mahalleh,36.69279,53.52394
Ziravan,36.69265,53.51433
Torujen-e Pa'in Mahalleh,36.68637,53.49066
Kalbestan,36.6392,53.31086
Melli Galleh,36.69863,53.34166
Boneh,36.74121,53.36686
Tappeh,36.69292,53.30589
Shurom Asiab Sar,36.67941,53.23857
`Abbasabad,36.71244,53.23256
Hajji Baba,36.78333,53.26667
Chupan Boneh Zenivand,36.80521,53.3297
Galesh Marz,36.75,53.36667
