name,latitude,longitude
Ţāle‘-e Pā’īn,36.06667,53.05
Bāghmal,36.05,53.05
Pol-e Kalāntarī,36.01667,53.03333
Samīt,36.01667,53.03333
Kharaj,36.01667,53.08333
Sar Chaleshk,36.00646,53.0807
Vanārdan,36.00385,52.95433
Bīm Darreh,36.00708,52.90956
Chamāz Chāl,36.05,52.91667
Lāltā,36.06373,52.9189
Emāmzādeh Haft Barādar,36.15,53.01667
Shahrīār Kolā,36.08333,52.85
Laband,36.06667,52.86667
Amīrīyeh,36.06667,52.85
Emāmzādeh Ḩasan,36.07123,52.74858
Rangrīzān,36.06667,52.7
Garīvash,36.06667,52.66667
Astal Sar,36.06667,52.75
Jalas,36.08333,52.61667
Golīrān,36.1,52.66667
Narjeh,36.11667,52.58333
Tīnū,36.1,52.58333
Mehdī Kheyl,36.03333,52.6
Katīvak-e Bālā,36.06667,52.55
Kat Kolā,36.19409,52.50038
Charnī,36.18333,52.63333
Samsū Kolā,36.21667,52.63333
Bīgdam,36.2,52.65
Dā’ī Sar,36.2,52.66667
Mamerz Kābon,36.26667,52.5
Tarū,36.23333,52.81667
Esbū Kolā,36.20574,52.80662
Ḩājjī Kolā,36.18333,52.78333
Amīr Kolā,36.18333,52.78333
Rūdbār Sarā,36.18333,52.86667
Tang Sar,36.2,52.85
Margī Chāl,36.2039,52.8499
Shahr,36.23333,52.83333
Javārem,36.22862,52.90837
Bālā Chāyrān,36.19933,52.96611
Shelāk,36.17095,53.11975
Sarā Chālī,36.2,53.06667
Maskūpā,36.21516,53.32111
Astār Shesh,36.23333,53.28333
Shāhzādeh Ḩoseyn,36.23333,53.53333
Kūtmār,36.23333,53.61667
Emāmzādeh Ebrāhīm,36.25,53.68333
Valūyeh-ye Bālā,36.20992,53.71425
Fīk Cheshmeh,36.23346,53.72601
Zangolī,36.23333,53.73333
Emāmzādeh Moḩammad Morād,36.3,53.68333
‘Alīābād,36.16205,53.86423
Ḩoseynābād,36.17093,53.88202
Sīāh Darreh,36.20669,53.8771
Nīleh Kūh,36.36317,53.69271
Dadeym Dasht,36.37382,53.6995
Şalāḩ,36.36667,53.45
Helmīd,36.36667,53.41667
Varnām-e `Olyā,36.36667,53.43333
Haft Khāl,36.2849,53.46131
Pāchā,36.26667,53.36667
Mīān Darreh,36.33333,53.33333
Kesvat,36.35387,53.33187
Ḩājjī Deh,36.26667,53.1
Sesleh,36.26667,53.08333
Emāmzādeh ‘Abdollāh,36.25,53.1
Katū,36.28333,52.86667
Ḩājjīābād,36.28333,52.86667
Shāhzādeh Reẕā,36.33382,52.67112
Tahamtan Kolā,36.32304,52.63665
Hardo Rūd,36.31667,52.55
Shīā Deh-e Pā’īn,36.33333,52.53333
Būrā,36.36667,52.56667
Kordī Kolā,36.36373,52.55274
Gāvān Kolā,36.38333,52.61667
Kahar Kenār,36.4,52.6
Afrāsīāb Kolā,36.36781,52.57014
Kharābeh Khvoshrūd Pey,36.38078,52.54648
Bāzyār-e Bālā,36.41667,52.53333
Bālā Ketāb,36.41667,52.65
Gerd Rūdbār,36.36078,52.67065
Pītkā,36.36981,52.72725
Chā’ī Bāgh,36.34055,52.86064
Mal‘eh,36.33333,52.86667
Dūkān Sar,36.36925,52.86133
Berenjestānak-e Bālā,36.37287,52.93397
Kamar Kheyl,36.346,53.12574
Kajarestāq,36.38333,53.33333
Kondes Bon,36.39561,53.35027
Kārnām-e ‘Olyā,36.39079,53.41677
Gornām-e Soflá,36.38333,53.41667
Valūdī,36.48333,53.7
Varnām,36.48333,53.88333
Pāband,36.48333,53.95
Darvīshābād,36.4911,53.96145
‘Alīābād,36.49522,53.95889
Ghār Dīvkhāneh,36.53333,53.86667
Kovā,36.51667,53.86667
Jīrband,36.5162,53.77256
Aqtalat,36.55,53.83333
Kīāsar-e Bālā,36.57859,53.83091
Chīn Pārch,36.63139,53.93905
Marang,36.73333,53.91667
Cheshmeh Bolbol,36.719,53.83754
Khazeynī,36.90463,53.97394
Laleh Bangeh,36.9,53.88333
Qezel Bābāy,36.88333,53.83333
Īlkhchī Kūmeh,36.88333,53.76667
Qezel Moḩammad‘alī,36.88333,53.75
Jom‘eh Shīvār,36.88333,53.66667
Qavvāsţal,36.88333,53.65
Valeh Mūzū,36.75,53.68333
Emāmzādeh Aḩmad,36.71667,53.71667
Khūzshīd Kolā,36.71667,53.76667
Sangyāb Sar,36.71869,53.66412
Valeh Mūzū,36.73558,53.66719
Posht Khīābān-e Rakāvand,36.70656,53.63672
Kashar Kheyl,36.68333,53.63333
Goteh Zamīn,36.66667,53.63333
Sheykh Nūr od Dīn,36.58333,53.73333
Īchīn,36.5,53.66667
Kafkūr,36.53333,53.65
Deram,36.46551,53.49372
Tīlapeh,36.51959,53.1663
Espūrez,36.53333,53.13333
Bandaforūz,36.53042,53.15642
Velesht,36.54627,53.18489
Jāmkhāneh,36.58333,53.25
Kasbīnān,36.57345,53.3576
Garāyel Maḩalleh,36.69279,53.52394
Zīravān,36.69265,53.51433
Torūjen-e Pā’īn Maḩalleh,36.68637,53.49066
Kalbestān,36.6392,53.31086
Mellī Galleh,36.69863,53.34166
Boneh,36.74121,53.36686
Tappeh,36.69292,53.30589
Shūrom Āsīāb Sar,36.67941,53.23857
‘Abbāsābād,36.71244,53.23256
Ḩājjī Bābā,36.78333,53.26667
Chūpān Boneh Zenīvand,36.80521,53.3297
Gālesh Marz,36.75,53.36667
Laleh Dīn,36.73184,53.44004
Basū,36.74713,53.49039
Shīlāt-e Amīrābād,36.85,53.3
Chefteh Sar,36.8,53.16667
Chīnam Dahaneh,36.8,53.15
Shīlāt-e Faraḩābād,36.8,53.11667
Kenār Daryā,36.8,53.1
Emāmzādeh Khalīfeh,36.76067,53.08265
Jīreh Sar,36.75,53.05
Kalmar,36.73333,53.05
Derāzmīr Kandeh,36.71667,53.06667
Marzūd,36.69175,53.09469
Tameshk Kūtī,36.70446,53.16825
Santeh,36.65,53.03333
Dāmīr,36.61667,53.06667
Sālār Kandeh,36.6,53.15
Danīk,36.61667,53.05
Qoroq,36.59053,53.05488
Pendār Kheyl,36.58333,53.03333
Lagan Dasht,36.57513,53.01666
Talū Kolā,36.5707,53.00883
Gallehdūn,36.58333,53.08333
Shas Kandeh,36.56667,53.15
Chāl Kīādeh,36.45,53.08333
Salīm Sheykh,36.43973,53.10342
Setūn Kolā,36.43333,53.06667
Seyyed Abū Şāleḩ,36.43615,53.0101
Rajeh,36.42567,52.89314
Rajeh Sar,36.41969,52.86878
Menān Kolā,36.4,52.85
